Oct 26, 2014     CORONADO-EASTLAKE SECTIONAL MASTERPOINT WINNERS     Page 1
 204     0.71  Barbara White
 205     0.71  Karen Perling
 206     0.70  A Dee Willms
 207     0.70  Virginia Hastings
 208     0.70  Robert Shapley
 209     0.69  Patricia Loh
 210     0.69  Albert Folkman
 211     0.69  Ben Domurat
 212     0.69  John Heberle
 213     0.69  Carol Clarke
 214     0.69  Marcia Schulman
 215     0.69  Toby Burke
 216     0.68  Pam Nuccio
 217     0.67  Lyn Martin
 218     0.67  Judy Geiser
 219     0.67  Bob Geiser
 220     0.67  Yoko Jordan
 221     0.65  Michael Koscielski
 222     0.65  Sharyn Pyrz
 223     0.62  Richard Morrow
 224     0.62  Lori Morrow
 225     0.61  Donna Rafenstein
 226     0.61  Cheryl Rankin
 227     0.59  Marc Matz
 228     0.59  Randy McGregor
 229     0.59  John Forrest
 230     0.59  Ann McGregor
 231     0.56  John Neville
 232     0.56  Nira Levy
 233     0.54  Rose Vogt
 234     0.54  Marianne Amantea
 235     0.53  Greg House
 236     0.46  Kenneth Carter
 237     0.46  Jeniene Robinson
 238     0.42  Randall Dougherty
 239     0.42  Lynne Newman
 240     0.42  Janet Ansfield
 241     0.40  David Segal
 242     0.40  Valerie Aron
 243     0.36  Budak Barkan
 244     0.34  Nahid Mahdavi
 245     0.34  Robert Dunham
 246     0.33  Mark Perlmutter
 247     0.33  Scott Nelson
 248     0.23  Victoria Mogilner
 249     0.23  Diane McMahan


Total Masterpoints reported:   759.98


Players selected: 249 out of 329
